客戶簡稱,cid
聯茂新埔,ddd0c4c4-82be-489c-90ac-834f7d78c709
皇麟實業,73a44c31-60f0-431e-a84a-b724ba2ea188
振業企業,5624f1ac-aa57-43c0-b640-3766a1f849ba
柏綸股份,ad1aa361-672f-455a-a1c4-b8d52fb8c068
立明造紙,75e4d2fb-ba32-4e3e-a879-3dab54a6b8bf
同欣龍科,7772a908-b4a0-41bf-898c-bbad3e266e65
三軍衛材,45f0188e-f6f3-42c6-a714-eb912d68213d
德淵觀音,426e2953-af5a-4d1d-bd92-413e157e37ea
永光化三,1ebb7008-ab2b-46bd-963c-cad973666808
佳乳食品,36ca932b-3ed7-4652-a7f7-677e5201bb65
晉倫一廠,3440cab9-25a7-478f-9225-7e55ba66d09a
世紀鋼鐵,f3310a59-1d44-4bfe-b833-082ed8b08b19
世紀鋼鐵,ba78784d-552f-4959-bfd9-832be947fd2a
世紀離岸,f450020d-a27b-4b1c-90e0-23623412e6a9
藍德工業,88a681cb-0428-4458-a957-28f68e6ffeac
億泰電線,4b2379e1-2fc4-4eb4-8f27-fad55c737ac2
鈞寶電子,80af7839-c04f-4162-9ca6-eeef5fb601ab
特菱公設,eb908e72-129b-43f7-acca-e7d74c009447
佳龍科技,6fbb41bb-643f-4869-9e09-e3d168b61665
華菱濱江,ff77392b-31b0-4a78-87ee-5ee74efd5a77
佳穎精密,0c89d01b-5a87-4f79-90cd-ca4215331354
台全金屬,472ebcf0-edaf-41a2-8ef6-5194a6d0c141
大華金屬,47766707-bb68-4fbc-98ef-771d86bffaab
國際航電,6520aa6c-7e76-443b-b0d7-1368a3d8dc73
僑力中壢,6338588e-21f6-4773-b9e9-5331e86455c8
新恭股份,2b63358f-d8f6-4fa2-b39e-48fd216a3f82
中華精測,b7eb8654-06a6-45ca-a14f-57ee3552ca77
台灣東洋,1a165e1d-a190-41d9-ae2b-f1117f498c2f
頎鴻電子,4e3ed5f0-60d9-4195-ac78-eeaa3b0a1961
瑞典商,4955e708-c79c-45b0-bd60-cf94cdc0ba99
華歌爾一,4054905b-cd1d-4eff-9396-1cbcf70e3881
嘉泰企業,b7884767-8cc9-49bf-bda8-6515e2cf1d2d
白金科技,bda60066-f504-45a3-b032-219dd326abc7
零售市場,7586d387-8ef4-4186-a649-8e0e27cfd167
立誠光電,d61e9169-994f-4c30-bfbd-1c9986df365e
立弘生化,5a841a79-0314-4985-bd42-c2c17c5cdf2d
桔揚龍潭,72903193-814d-4579-b8fb-87f72971c813
昌達陶瓷,6933572c-52a8-4869-aac4-eee571edb935
康普二廠,8a0559eb-a43d-4920-b8af-fbf762250393
冠軍建材,5c8235fe-e812-4654-ac6f-e644e655d1b3
裕臺,509dcf3d-ed0a-48ba-a808-ba60443edc2e
創詰,eed9477a-c850-46eb-9089-e5626b41792b